German, English
ich ,I
sie ,you
das ,the
ist ,is
du ,you
nicht ,Not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a
in ,in
ja ,Yes
mir ,me
mit ,with
wie ,how
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,one
so ,so
hat ,Has
hier ,here
haben ,to have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,your
nein ,no
habe ,have
an ,on
bin ,am
noch ,still
nur ,only
da ,there
dir ,to you
sich ,themselves
einen ,a
uns ,us
hast ,have
dem ,to the
kann ,can
gut ,Good
auch ,also
schon ,nice
als ,as
sein ,be
mal ,times
jetzt ,now
ihn ,him
dann ,then
aus ,out
meine ,my
um ,around
im ,in the
wird ,will
mein ,my
bist ,are you
doch ,yet
alles ,All
weiß ,White
keine ,none
oder ,or
nach ,after
s ,S
nichts ,nothing
man ,one
muss ,got to
werden ,will
will ,want
ihnen ,them
geht ,goes
wo ,Where
etwas ,some
oh ,Oh
mehr ,more
bei ,at
also ,so
bitte ,You're welcome
immer ,always
hab ,have
warum ,why
vor ,before
los ,Come on
können ,can
wieder ,again
sagen ,say
machen ,make
danke ,thank you
sehr ,very
alle ,Everyone
denn ,because
mann ,man
tun ,to do
ihm ,him
zum ,for the
gehen ,walk
sehen ,see
vielleicht ,perhaps
einem ,a
wer ,who
ihre ,your
diese ,this
euch ,to you
einer ,one
komm ,come over
über ,over
gibt ,are
okay ,OK
wissen ,to know
deine ,yours
müssen ,must
soll ,target
werde ,become
nie ,never
wirklich ,really
hey ,hey
kein ,no
viel ,a lot of
weg ,away
würde ,would
tut ,does
am ,at the
des ,of
einfach ,simple
leben ,Life
hatte ,had
zeit ,time
weil ,because
willst ,want
kommen ,come
dein ,your
heute ,today
kommt ,comes
wollen ,want
damit ,in order to
ganz ,quite
wäre ,would
wollte ,wanted to
weißt ,white
ok ,OK
sicher ,secure
gesagt ,said
frau ,woman
nun ,well
bis ,until
wurde ,would
leid ,suffering
na ,n / A
kannst ,can
macht ,power
dieser ,this
zurück ,return
lassen ,leave
hallo ,Hi
meinen ,my
gott ,God
seine ,his
hätte ,had
zwei ,two
könnte ,could
genau ,Exactly
waren ,were
zur ,to the
lass ,let
klar ,clear
morgen ,morning
leute ,People
vater ,father
schön ,beautiful
glaube ,faith
mr. ,mr.
ab ,away
gerade ,just
tag ,Day
gesehen ,seen
reden ,talk
wohl ,well
liebe ,love
sollte ,should
sagte ,said
unsere ,our
jemand ,someone
geld ,money
durch ,through
ob ,if
keinen ,no
mutter ,mother
raus ,Out
gemacht ,made
paar ,few
mach ,make
passiert ,happens
dachte ,thought
besser ,better
musst ,must
wieso ,how come
sir ,sir
dieses ,this
selbst ,even
gehört ,heard
möchte ,would like
ohne ,without
hör ,listening
her ,from
sag ,say
meiner ,mine
anderen ,others
helfen ,help
nacht ,night
finden ,Find
diesen ,this
gute ,quality
wirst ,become
lange ,Long
natürlich ,Naturally
ach ,Oh
meinem ,my
gar ,at all
ins ,into the
sei ,be
dort ,there
weiter ,further
geben ,give
seit ,since
gleich ,same
sagt ,says
recht ,Law
ihren ,your
richtig ,correct
ordnung ,order
vom ,from the
hören ,Listen
sieht ,sees
davon ,from that
dafür ,Therefore
geh ,walk
diesem ,this
wegen ,because
hause ,home
sollten ,should
mädchen ,girl
hin ,there
sollen ,must
abend ,Eve
haus ,House
denke ,think
viele ,lots
drei ,three
deinen ,yours
freund ,friend
guten ,good
unser ,our
warte ,wait
machst ,make
menschen ,People
essen ,eat
angst ,fear
bleiben ,remain
zusammen ,together
welt ,world
unter ,among
habt ,have
schnell ,fast
andere ,other
tot ,dead
getan ,did
darf ,may
erst ,first
rein ,pure
stimmt ,Right
nehmen ,take
kinder ,children
eines ,one
glauben ,believe
bringen ,bring
ganze ,entire
genug ,enough
scheiße ,crap
brauchen ,need
gegen ,versus
moment ,moment
junge ,Boy
steht ,stands
sonst ,otherwise
musik ,music
arbeit ,job
seid ,are
ihrer ,of their
fragen ,questions
herr ,Mr
dabei ,included
heißt ,is called
familie ,family
warten ,waiting
niemand ,nobody
sofort ,right away
bevor ,before
jahre ,years
einmal ,once
problem ,problem
sohn ,son
wann ,when
brauche ,need
fertig ,finished
halt ,just
allein ,alone
beim ,at the
sprechen ,speak
beide ,both
gefunden ,found
hatten ,had
sache ,Thing
hilfe ,Help
verdammt ,Damn
ne ,ne
jeder ,everyone
warst ,beings
gern ,willingly
konnte ,could
darüber ,about that
halten ,keep
siehst ,see
verstehe ,understand
jahren ,years
kam ,came
kind ,child
wusste ,knew
wahr ,true
seinen ,his
dazu ,to
bruder ,brothers
daran ,to it
ihrem ,hers
denken ,think
könnten ,might
dank ,thanks to
würden ,would
lieber ,rather
fall ,case
deiner ,yours
sehe ,see
egal ,no matter
kennen ,know
deinem ,yours
vergessen ,to forget
frage ,ask
mache ,make
komme ,come
sage ,legend
mag ,like
sieh ,see
echt ,real
gib ,give
eigentlich ,actually
jeden ,every
dad ,dad
gab ,gave
uhr ,Clock
stadt ,city
männer ,Men
baby ,infant
fahren ,ride
namen ,names
bekommen ,receive
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,luck
letzte ,last
freunde ,friends
n ,n
all ,Alles
darauf ,thereon
ende ,The End
dr. ,Dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minute
vielen ,many
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,stand
sterben ,die
hätten ,have
draußen ,outside
kenne ,know
fast ,nearly
runter ,down
vorbei ,over
treffen ,meet
gerne ,gladly
dran ,your turn
wurden ,became
arbeiten ,work
mom ,mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,Behind
sorgen ,care for
einzige ,single
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,needs
idee ,idea
schwester ,sister
drin ,in it
ruhig ,calm
sah ,saw
ganzen ,entire
spät ,late
ziemlich ,pretty much
solltest ,should
name ,Surname
sogar ,even
kurz ,short
kerl ,Guy
frauen ,women
liegt ,located
suchen ,search
finde ,find
je ,ever
woher ,from where
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hear
verstehen ,to understand
spielen ,to play
s. ,s.
überhaupt ,at all
teufel ,devil
verstanden ,Roger that
verloren ,lost
große ,size
hand ,hand
grund ,ground
jahr ,year
kommst ,come
mama ,mummy
ruhe ,Quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,thinking
oben ,above
gestern ,yesterday
versuchen ,to attempt
art ,kind
letzten ,last
schatz ,sweetheart
endlich ,Finally
he ,hey
nimm ,take
etwa ,about
erzählt ,told
läuft ,running
schwer ,heavy
anders ,different
miss ,miss
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tries
gekommen ,came
geschichte ,history
wenig ,little
holen ,to fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,for this reason
welche ,Which
bestimmt ,definitely
hoch ,high
alter ,Age
sagst ,say
schau ,look
ah ,ah
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,please
spaß ,fun
niemals ,No way
schuld ,fault
getötet ,killed
wollten ,wanted to
verlassen ,leaving
zeigen ,demonstrate
beste ,best
ernst ,serious
unserer ,ours
denen ,whom
ort ,location
bleibt ,remain
würdest ,would
manchmal ,sometimes
glaubst ,believe
seite ,page
lasst ,leaves
zwischen ,between
eben ,even
während ,during
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,friend
krieg ,war
gefällt ,like
kleinen ,small
erzählen ,tell
anderes ,other
tage ,days
entschuldigen ,apologize
wichtig ,important
gehst ,walking
allen ,all
bett ,bed
mrs. ,Mrs.
sachen ,things
the ,the
schlecht ,bad
schule ,school
entschuldigung ,Excuse me
wort ,word
john ,John
hättest ,would have
wären ,be
typ ,Type
schlafen ,sleep
äh ,ah
tu ,TU
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,man
kleiner ,smaller
stellen ,put
oft ,often
sorge ,worries
gedacht ,thought
tust ,tust
trinken ,drink
einige ,some
dies ,this
ding ,thing
unseren ,ours
kriegen ,get
blut ,blood
ehrlich ,Honestly
eltern ,parents
scheint ,seems
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,stay
wiedersehen ,reunite
frei ,free
wen ,whom
drauf ,on it
möglich ,possible
irgendwie ,somehow
reicht ,suffices
fest ,fixed
besten ,best
waffe ,weapon
kaum ,hardly
irgendwas ,anything
klingt ,sounds
platz ,space
brauchst ,needs
rede ,speech
papa ,father
falsch ,not correct
sondern ,Then what
alten ,old
nummer ,number
früher ,previously
jungen ,boys
wohin ,where
außer ,except
früh ,early
setzen ,put
zuerst ,first
wahrscheinlich ,probably
dürfen ,allowed to
jede ,every
arsch ,ass
telefon ,phone
tue ,do
kennst ,know
willkommen ,welcome
plan ,plan
großen ,huge
retten ,save
hierher ,here
wär ,would be
bring ,bring
fehler ,error
wollt ,want
dollar ,dollar
zehn ,ten
allem ,all
pass ,passport
nächste ,next
stunde ,hour
hände ,hands
gegeben ,given
menge ,amount
langsam ,slow
bereits ,already
wartet ,waiting
sechs ,six
lieben ,love
meines ,mine
büro ,office
nächsten ,next
gebe ,gift
wochen ,weeks
ruf ,call
schaffen ,create
leider ,unfortunately
scheiß ,shit
hölle ,hell
trotzdem ,despite it
doktor ,doctor
tja ,well
new ,new
voll ,full
film ,Movie
überall ,overall
hund ,dog
geworden ,become
direkt ,direct
wolltest ,wanted
tat ,did
denkt ,thinks
schiff ,ship
neues ,new
wem ,whom
könig ,king
danach ,after that
funktioniert ,functions
hattest ,hate
lernen ,to learn
deswegen ,because of this
wow ,Wow
nennen ,to name
hm ,Hm
feuer ,Fire
laufen ,to run
alleine ,alone
erinnern ,remember
völlig ,fully
kleines ,small
könnt ,can
stelle ,Job
kumpel ,Dude
verlieren ,lose
probleme ,problems
spricht ,speaks
kaffee ,coffee
luft ,air
fand ,found
i ,I
entschuldige ,Excuse me
ziehen ,drag
verschwinden ,disappear
könntest ,might
seht ,look
aufhören ,stop
eigenen ,own
richtige ,right one
unserem ,ours
suche ,seek
zwar ,though
groß ,great
hol ,brow
buch ,a book
krank ,Sick
fühle ,feel
jedes ,every
verstehst ,understand
wert ,worth
arzt ,doctor
froh ,joyful
versuche ,tries
straße ,street
rufen ,call
heiraten ,marry
super ,great
sam ,sam
lebt ,lives
gutes ,good
lasse ,let
onkel ,uncle
total ,total
gebracht ,brought
party ,party
erklären ,explain
spielt ,plays
wahl ,choice
vertrauen ,to trust
damals ,back then
tagen ,days
leicht ,light
nachdem ,after this
gegangen ,gone
gefühl ,feeling
kaufen ,to buy
geschafft ,Done
typen ,guy
interessiert ,Interested
möchten ,want
halte ,hold
hält ,holds
glaub ,belief
irgendwo ,somewhere
stück ,piece
genauso ,just like that
kennt ,knows
genommen ,taken
zukunft ,future
weniger ,fewer
cool ,cool
licht ,light
getroffen ,met
himmel ,sky
nachricht ,news
drüben ,over there
passt ,fits
sagten ,said
kümmern ,To take care of
laut ,according to
vergiss ,forgetful
angerufen ,called
sitzen ,to sit
daß ,that
erde ,earth
großer ,greater
schlüssel ,key
rest ,rest
passieren ,happen
eher ,rather
gefragt ,asked
gefängnis ,jail
opfer ,victim
körper ,body
solche ,such
mist ,damn
mr ,MR
findet ,find
schreiben ,write
böse ,evil
gesprochen ,spoken
versuch ,attempt
vorstellen ,to introduce
wovon ,About what
sobald ,as soon
nochmal ,once again
herren ,Men's
sex ,sex
waffen ,weapons
wohnung ,apartment
weh ,sore
heißen ,mean
krankenhaus ,hospital
bringe ,bring
höre ,listen
millionen ,millions
klasse ,great
hart ,hard
worden ,gone
sinn ,sense
außerdem ,in addition to that
verletzt ,hurt
ändern ,change
erfahren ,Experienced
tragen ,carry
wenigstens ,at least
vorsichtig ,careful
daddy ,daddy
stolz ,proudly
stark ,strong
fällt ,fall
möchtest ,want
leuten ,people
besonders ,especially
schöne ,lovely
schicken ,send
person ,person
schätze ,appreciate
solange ,so long
länger ,longer
großartig ,Great
lacht ,laughs
anrufen ,call
stand ,was standing
redest ,speech
fühlen ,feel
erwartet ,expected
boden ,ground
boss ,boss
stimme ,voice
glaubt ,believe
still ,quiet
sicherheit ,security
setz ,setting
ma ,MA
mund ,mouth
kämpfen ,battle
wisst ,know
lachen ,laugh
hörst ,hear
zeug ,things
lustig ,fun
umbringen ,kill
sollst ,thorough
hasse ,hate
schlimm ,terrible
o ,O
unglaublich ,unbelievable
wärst ,be
laden ,load
führen ,to lead
gestorben ,died
schauen ,look
meinung ,opinion
lesen ,read
mörder ,murderer
frank ,frank
ähm ,um
geschehen ,happen
geschäft ,shop
idiot ,idiot
verzeihung ,forgiveness
fliegen ,to fly
zeig ,show
team ,team
general ,general
mike ,Mike
aufs ,onto
york ,York
vorher ,beforehand
schluss ,Enough
schneller ,more quickly
liebt ,loved
verdient ,deserved
mögen ,like
meisten ,most
denk ,think
umgebracht ,killed
perfekt ,Perfect
versprochen ,promised
handy ,mobile
hinten ,rear
monate ,months
erinnere ,remind
acht ,eight
arbeitet ,is working
fallen ,fall
rufe ,calls
nötig ,necessary
a ,A
mord ,murder
heraus ,out
tages ,day
unmöglich ,not possible
liebling ,favorite
charlie ,Charlie
tatsächlich ,In fact
folgen ,follow
bitten ,asking for
behalten ,keep
nähe ,vicinity
arbeite ,work
joe ,Joe
verdammte ,damn
plötzlich ,suddenly
lebens ,life
hole ,hole
tisch ,table
michael ,Michael
hörte ,heard
jemals ,ever
liegen ,lie
verkaufen ,Selling
gefährlich ,dangerous
anfangen ,begin
bekommt ,gets
machte ,made
ha ,Ha
hotel ,hotel
hilft ,helps
werdet ,become
meister ,master
kampf ,struggle
antwort ,reply
konnten ,could
geschickt ,cleverly
jedem ,each
obwohl ,although
sieben ,seven
komisch ,funny
gewinnen ,to win
ihres ,hers
bezahlt ,paid
you ,you
voller ,full of
unterwegs ,On the way
dumm ,dumb
ärger ,trouble
bild ,image
george ,George
neu ,New
bezahlen ,pay
dagegen ,against it
seien ,be
starb ,died
tom ,Tom
monaten ,months
leiche ,corpse
niemanden ,nobody
auge ,eye
arschloch ,asshole
verheiratet ,married
peter ,Peter
zieh ,pull
nimmt ,takes
gerettet ,rescued
agent ,agent
traum ,dream
entscheidung ,decision
schlimmer ,worse
regeln ,regulate
fenster ,window
fangen ,catch
fort ,on
ständig ,constant
findest ,find
gefahr ,danger
absolut ,absolutely
mary ,Mary
augenblick ,moment
bescheid ,notice
rum ,rum
gedanken ,throughts
werd ,werry
ziel ,target
benutzt ,used
bewegung ,Move
jemandem ,someone
wünschte ,wish
worte ,words
kamen ,came
welcher ,which
zahlen ,to count
anfang ,beginning
legen ,place
erinnerst ,remembered
anwalt ,attorney
fahr ,driving
sitzt ,sitting
hilf ,help
offen ,open
schönen ,nice
monsieur ,Monsieur
müsste ,should
arme ,poor
bier ,beer
fürs ,for
partner ,partner
klein ,small
david ,David
klappe ,flap
süß ,Sweet
herum ,hereabouts
finger ,finger
ehe ,marriage
rolle ,role
ließ ,left
gleiche ,same
monat ,month
hochzeit ,marriage
max ,Max
führt ,leads
paris ,Paris
wach ,awake
wozu ,what for
arm ,poor
geschrieben ,written
chef ,boss
benutzen ,to use
informationen ,information
erledigt ,completed
hoffentlich ,hopefully
müsst ,must
fühlt ,feels
tanzen ,to dance
ansehen ,look at
darfst ,may
zuhause ,at home
wunderbar ,Marvelous
hältst ,hold
reise ,travel
gewonnen ,won
dame ,lady
irgendwann ,Sometime
chffffff ,CHFFFFFF
alex ,Alex
steckt ,plugged
jedenfalls ,in any case
schreit ,screams
tolle ,amazing
rüber ,over
tschüss ,bye Bye
nennt ,names
raum ,space
heiß ,hot
foto ,photo
kalt ,cold
paul ,Paul
irgendetwas ,anything
weile ,while
bisher ,until now
minute ,minute
unbedingt ,necessarily
zug ,train
sekunden ,seconds
wofür ,for what
erzähl ,tell
nen ,nen
beweise ,proofs
nahm ,took
aller ,all
freut ,is happy
seele ,soul
schießen ,shoot
müde ,weary
dauert ,lasts
magst ,like
harry ,Harry
brief ,letter
gelernt ,learned
sucht ,seeks
bekannt ,famous
weitere ,Further
unfall ,accident
dahin ,then
kontrolle ,control
beispiel ,example
lady ,lady
dasselbe ,the same thing
herzen ,heart
schlagen ,beat
wütend ,furious
weise ,wise
damen ,ladies
darin ,in this
gottes ,God
holt ,get
fehlt ,is missing
vorsicht ,Attention
heiße ,name is
beweisen ,to prove
gehabt ,had
zumindest ,at least
vermisst ,missing
hübsch ,pretty
kriegt ,gets
verbindung ,link
tief ,deep
richtung ,direction
lage ,position
sowieso ,anyway
kraft ,force
normal ,normal
lauf ,run
ehre ,honor
stell ,stall
geschenk ,present
bar ,bar
tasche ,bag
gelesen ,had read
gekauft ,bought
wussten ,knew
gestohlen ,stolen
hunger ,hunger
leg ,leg
lügen ,lying
beziehung ,relationship
ben ,ben
verschwunden ,disappeared
steh ,standing
nächstes ,next
gearbeitet ,worked
preis ,price
witz ,joke
meinte ,meant
liste ,list
geist ,ghost
neben ,Next
gesucht ,sought
firma ,company
süße ,sweetness
rücken ,move
schrecklich ,dreadful
letzter ,last
verliebt ,in love
öffnen ,to open
redet ,talking
boot ,boat
seltsam ,strange
versteckt ,hidden
fürchte ,fear
verschwinde ,disappear
erwischt ,Caught
verkauft ,sold
tante ,aunt
erwarten ,expect
pferd ,horse
wunder ,wonder
sauer ,angry
vermutlich ,allegedly
näher ,closer
major ,major
jung ,young
majestät ,majesty
aussehen ,looks
ans ,ans
de ,de
and ,and
links ,Left
großes ,big
welches ,which
beschützen ,to protect
geboren ,born
erreichen ,reach
punkt ,Point
kindern ,children
kirche ,church
verraten ,betray
selber ,myself
befehl ,command
colonel ,colonel
fährt ,moves
zieht ,pull
geburtstag ,date of birth
haut ,skin
wette ,bet
reich ,rich
sekunde ,second
fahre ,drive
schwöre ,swear
geredet ,talked out
james ,James
madame ,Madame
eigene ,own
zeiten ,times
traurig ,Sad
anruf ,Call
nachrichten ,Messages
frieden ,peace
karte ,map
güte ,quality
euren ,yours
diesmal ,this time
schade ,what a shame
persönlich ,personal
kriege ,wars
stirbt ,dies
bleibe ,stay
verändert ,changes
sonne ,Sun
lieb ,dear
nämlich ,namely
letztes ,last
bekam ,got
ruft ,calls
professor ,professor
gericht ,court
nase ,nose
ewig ,eternal
singen ,to sing
bank ,Bank
beschäftigt ,occupied
computer ,computer
yeah ,yeah
toten ,kill
weihnachten ,Christmas
offensichtlich ,obviously
naja ,oh well
henry ,henry
gefühle ,feelings
fuß ,foot
show ,show
überraschung ,surprise
geheimnis ,secret
fbi ,FBI
kontakt ,Contact
gold ,gold
drogen ,drugs
regierung ,government
wein ,Wine
kriegst ,get
ermordet ,murdered
fotos ,photos
entfernt ,away
geschlafen ,slept
manche ,some
erledigen ,take care of
ran ,ran
gegenüber ,opposite to
schlaf ,sleep
lust ,desire
wunderschön ,very beautiful
witzig ,funny
nick ,nick
zerstört ,destroyed
übrigens ,by the way
willen ,sake
heim ,home
richtigen ,right
deines ,yours
namens ,called
zeigt ,shows
geliebt ,loved
gehören ,belong
brachte ,brought
herrn ,Mr
blick ,view
besuch ,visit
schlechte ,bad
bewegen ,move
haare ,hair
antworten ,answers
präsident ,president
sagtest ,says
hoffnung ,hope
stecken ,put
lebe ,live
rechts ,right
interessant ,Interesting
entscheiden ,decide
miteinander ,together
meint ,means
liebst ,loving
indem ,in which
bleibst ,stay
kümmere ,care
wohnen ,reside
weder ,neither
möglichkeit ,possibility
kaputt ,broken
bekomme ,get
flugzeug ,plane
vergangenheit ,past
anderer ,another
zweite ,second
armee ,army
jim ,Jim
tee ,tea
entweder ,either
weiss ,White
don ,Don
detective ,detective
aufhalten ,stop
stellt ,places
verspreche ,promise
überrascht ,surprised
sauber ,clean
hau ,hood
mark ,mark
schlag ,punch
sheriff ,sheriff
untertitel ,subtitle
setzt ,puts
frag ,question
vaters ,father
nervös ,nervous
gesellschaft ,company
verstecken ,hide
schuldig ,guilty
hals ,neck
schützen ,protection
besuchen ,visit
of ,of
passen ,fit
überleben ,to survive
erhalten ,obtain
teilen ,divide
gebäude ,building
schicksal ,fate
zeichen ,character
richter ,judge
besorgt ,concerned
küche ,kitchen
lief ,ran
vergnügen ,enjoyment
wüsste ,desire
volk ,people
lhr ,LHR
herausfinden ,find out
königin ,queen
soldaten ,soldiers
feiern ,celebrate
situation ,situation
lag ,lag
gelassen ,calmly
allerdings ,Indeed
soweit ,so far
gefahren ,hazards
verstand ,understanding
bord ,board
schönes ,beautiful
jimmy ,Jimmy
billy ,Billy
angefangen ,begun
lee ,lee
fühlst ,feel
bob ,bob
mussten ,had to
rat ,advice
worauf ,whereupon
gebeten ,requested
tony ,tony
kamera ,camera
achtung ,Danger
lieutenant ,lieutenant
ganzes ,whole
schuhe ,Shoes
sarah ,Sarah
glückwunsch ,congratulation
niemandem ,no one
gibst ,give
statt ,instead of
übernehmen ,take over
gegend ,area
wald ,forest
al ,al
la ,la
nimmst ,take
danny ,Danny
erkennen ,detect
glas ,Glass
falsche ,wrong
verantwortlich ,responsible
jesus ,Jesus
stöhnt ,groaned
herein ,in
kleid ,dress
zerstören ,destroy
jawohl ,Yes sir
london ,London
gegessen ,eaten
abendessen ,Dinner
gesetz ,law
gemeinsam ,together
geholfen ,helped
erster ,first
wohnt ,lives
schritt ,step
guck ,look
nahe ,vicinity
aussieht ,looks
beginnen ,begin
dachten ,thought
band ,tape
ungefähr ,approximately
aufgabe ,task
neun ,nine
furchtbar ,awful
drinnen ,inside
zuvor ,before
charles ,Charles
freue ,am happy
amerika ,America
übrig ,left over
spur ,track
falschen ,false
sergeant ,sergeant
melden ,Report
helfe ,help
werfen ,throw
bill ,bill
haltet ,hold
erinnert ,remind
hängt ,hangs
freude ,joy
ehemann ,husband
erschossen ,shot
verzeihen ,pardon
schwein ,pig
uh ,uh
monster ,monster
entschieden ,decided
mission ,mission
verdammten ,damn
brauch ,custom
gewusst ,knew
vorne ,in front
stopp ,stop
übel ,bad
schlampe ,slut
schöner ,more beautiful
adresse ,address
unsinn ,nonsense
messer ,knife
gesund ,healthy
respekt ,respect
pro ,Per
leisten ,Afford
davor ,before
richard ,Richard
bedeuten ,mean
ball ,ball
mitnehmen ,take along
gespielt ,played
to ,to
schwierigkeiten ,trouble
hälfte ,half
kannte ,knew
stehe ,stand
maria ,Maria
planeten ,planet
schwanger ,pregnant
gruppe ,group
anna ,Anna
verhaftet ,arrested
deal ,deal
seines ,his
irgendwelche ,any
händen ,hands
versteht ,understands
drehen ,turn
eis ,ice
danken ,to thank
erfolg ,success
zufrieden ,satisfied
schließen ,shut down
besorgen ,to get
wochenende ,weekend
worüber ,about what
stimmen ,voices
nehmt ,take
martin ,Martin
m ,m
witze ,jokes
beine ,legs
verbrechen ,crime
bericht ,report
nachts ,at night
eurer ,yours
prinzessin ,princess
schmerz ,pain
klingelt ,rings
position ,position
echte ,real
gleichen ,resemble
fernsehen ,TV
wünsche ,Wishes
schließlich ,after all
gefangen ,captured
schätzchen ,baby
seh ,see
schwierig ,difficult
angebot ,offer
nah ,close
jane ,Jane
gewartet ,waited
kümmert ,takes care
ring ,ring
rennen ,run
lied ,song
eier ,egg
welchen ,which
sorry ,sorry
fantastisch ,fantastic
schaut ,looks
hielt ,held
falle ,cases
drink ,drink
insel ,island
dauern ,last
daher ,hence
zufällig ,coincidentally
dorf ,Village
clark ,Clark
bewegt ,emotional
mitten ,in the middle
bullen ,cops
feind ,enemy
einverstanden ,I Agree
neuer ,news
bauen ,build
trägt ,wearing
hängen ,hang
freunden ,friends
deren ,whose
halb ,half
verpasst ,lost
sprach ,speech
leise ,quietly
armen ,arm
wusstest ,chewing test
fanden ,found
unternehmen ,Companies
träume ,dreams
schläft ,is sleeping
kostet ,costs
spiele ,game
unseres ,ours
entlang ,along
johnny ,Johnny
versprechen ,promise
tiere ,animals
freiheit ,freedom
verdienen ,to earn
aha ,Aha
unterhalten ,to chat
eingeladen ,invited
schaden ,damage
genannt ,called
beenden ,break up
ray ,ray
geändert ,changed
thomas ,Thomas
lächerlich ,ridiculous
geschlagen ,beaten
park ,park
schätzen ,estimate
männern ,male
t ,T
beginnt ,begins
ehren ,to honor
größte ,greatest
energie ,energy
fleisch ,flesh
besonderes ,special
besteht ,consists
reichen ,pass
robert ,Robert
zeitung ,newspaper
worum ,what
nachgedacht ,thoughtful
betrunken ,drunk
sowas ,like this
patienten ,patient
gespräch ,conversation
leiden ,To suffer
taxi ,taxi
tötet ,killed
see ,lake
unterschied ,difference
wind ,wind
singt ,sings
schreien ,scream
daniel ,Daniel
sahen ,saw
wand ,wall
bus ,bus
lhre ,lhre
angriff ,attack
verhalten ,behave
loch ,hole
interesse ,interest
treten ,step
quatsch ,nonsense
trifft ,meets
polizist ,police officer
blumen ,flower
neuigkeiten ,news
bringst ,brings
flasche ,bottle
rief ,called
schuss ,shot
fassen ,grasp
meer ,sea
konntest ,can
schafft ,creates
maschine ,machine
spreche ,speak
bein ,leg
eddie ,Eddie
bekommst ,get
verbringen ,spend
bücher ,Books
blöd ,stupid



