Portuguese, English
que ,what
não ,not
de ,in
você ,you
eu ,I
um ,a
para ,for
se ,if
está ,it is
uma ,one
com ,with
me ,me
por ,per
ele ,him
isso ,this
em ,in
do ,of
bem ,well
mas ,but
como ,like
da ,gives
os ,you
no ,at the
aqui ,on here
na ,at
sim ,yea
ela ,Is it over there
mais ,most
tem ,have
meu ,mine
seu ,your
vai ,go
as ,at
muito ,very
vamos ,let's go
foi ,were
estou ,I am
sua ,your
tudo ,all
só ,only
minha ,mine
agora ,now
pode ,he can
te ,you
então ,then
vou ,I'm going
sei ,know
fazer ,to do
quando ,When
ser ,to be
nós ,we
tenho ,I have
quer ,would you like
nos ,us
certo ,right
eles ,they
já ,already
sabe ,You know
quem ,who
estava ,was
nada ,nothing
era ,it was
onde ,Where
lá ,there
quero ,I want
ao ,to
ou ,or
sou ,I am
disse ,said
bom ,Good
há ,there is
posso ,I can
são ,are
ter ,to have
dizer ,to say
mim ,me
porque ,why
pra ,for
acho ,think
coisa ,thing
mesmo ,same
estão ,they are
sobre ,on
todos ,all
até ,until
lo ,it
cara ,face
nunca ,Never
quê ,what
assim ,so
tempo ,time
algo ,something
esse ,this
isto ,this
essa ,That
casa ,home
ver ,to see
vocês ,you
favor ,favor
temos ,we have
dos ,From
também ,also
ainda ,yet
deus ,God
ir ,go
noite ,night
tão ,So
obrigado ,thanks
sem ,without
melhor ,best
dia ,day
esta ,it is
estamos ,we are
talvez ,maybe
pai ,dad
alguém ,somebody
senhor ,Mr
vida ,life
anos ,years old
mãe ,mom
este ,This one
sr ,MR
sempre ,ever
vez ,turn
verdade ,truth
dele ,his
seus ,their
ficar ,to stay
parece ,looks
aí ,there
preciso ,precise
falar ,speak
oh ,Oh
coisas ,stuff
nem ,nor
homem ,men
depois ,later
claro ,clear
pelo ,fur
antes ,before
fazendo ,making
tinha ,had
lhe ,you
boa ,Good
faz ,does
dois ,two
pessoas ,people
pouco ,little
ei ,Hey
deve ,he must
acha ,he thinks
qual ,which
todo ,all
la ,there
lugar ,place
fora ,outside
apenas ,only
estar ,be
ninguém ,nobody
fez ,did
disso ,from that
trabalho ,I work
precisa ,need
comigo ,with me
das ,of
dar ,to give
alguma ,some
saber ,to know
novo ,new
mundo ,world
desculpe ,excuse me
hoje ,today
nome ,Name
seja ,it is
queria ,I wanted
vá ,go
sinto ,I feel
dinheiro ,cash
podemos ,we can
diga ,say
grande ,great
filho ,son
suas ,your
quanto ,how much
nossa ,Wow
deixe ,leave
vão ,they go
pela ,for the
outro ,other
qualquer ,any
será ,it will be
meus ,my
poderia ,it could
ok ,OK
nosso ,our
oi ,Hi
hora ,hour
outra ,other
dela ,her
certeza ,certain
sair ,go out
olá ,Hello
problema ,problem
carro ,car
daqui ,from here
mulher ,woman
toda ,all
merda ,Shit
algum ,any
volta ,return
espere ,hang on
falando ,talking
sabia ,you knew
amigo ,friend
aconteceu ,It happened
menos ,any less
olhe ,look
tipo ,type
faça ,Knife
venha ,come
diz ,it says
três ,three
ótimo ,excellent
obrigada ,Thanks
vezes ,times
vi ,saw
primeiro ,first
atrás ,behind
voltar ,come back
sério ,for real
entre ,in between
tenha ,you have
deveria ,it should
realmente ,really
ah ,ah
seria ,would be
às ,at
embora ,although
olha ,look
vê ,see
parte ,part
viu ,saw
vem ,comes
todas ,all
aquele ,that one
fique ,stay
los ,Los
deixar ,leave
ajudar ,help
amor ,love
dentro ,inside
dê ,in
pensei ,I thought
cabeça ,head
família ,family
duas ,two
gente ,people
frente ,front
pare ,Stop
querida ,Honey
feliz ,happy
dias ,days
nas ,in the
indo ,going
lado ,side
fui ,went
podem ,they can
gosto ,I like
homens ,men
mal ,bad
matar ,to kill
nenhum ,none
dá ,from the
fiz ,made
precisamos ,We need
pegar ,take
somos ,are
cidade ,City
tarde ,afternoon
fosse ,were
alguns ,some
legal ,cool
amigos ,friends
têm ,have
garota ,girl
meio ,quite
deles ,their
logo ,soon
rápido ,fast
amanhã ,tomorrow
momento ,time
gostaria ,would
medo ,fear
caso ,case
num ,on one
foram ,they were
importa ,it matters
tanto ,so much
horas ,hours
porta ,door
tentando ,trying
irmão ,brother
outros ,others
entrar ,log in
desde ,since
ali ,there
minhas ,my
amo ,I love
jeito ,way
minutos ,minute
cada ,each
morto ,dead
vejo ,I see
enquanto ,While
quase ,almost
errado ,wrong
pessoa ,people
algumas ,some
ajuda ,help
demais ,too much
nova ,new
história ,story
perto ,near
fica ,he is
aquela ,that one
tá ,OK
dizendo ,saying
semana ,week
garoto ,boy
deu ,He gave
encontrar ,meet
papai ,dad
pessoal ,folks
contra ,against
sorte ,luck
cima ,top
droga ,damn it
primeira ,first
nisso ,in that
esses ,Those
quiser ,he wants
morte ,death
essas ,these
idéia ,idea
achei ,I thought
morrer ,to die
espero ,I expect
caminho ,path
polícia ,police
sente ,feel
arma ,weapon
manhã ,morning
aos ,to the
acabou ,he finished
quarto ,bedroom
crianças ,kids
ano ,year
levar ,take along
pronto ,ready
forma ,form
acredito ,I believe
espera ,wait
for ,either
chegar ,to arrive
juntos ,together
gosta ,he likes
cuidado ,caution
uns ,some
tive ,I had
pensar ,think
numa ,in
razão ,reason
veja ,Look
feito ,done
devia ,should
mãos ,hands
teve ,he had
consigo ,I can
elas ,they
sido ,has been
conta ,he counts
contar ,tell
chefe ,boss
olhos ,eyes
filha ,daughter
ia ,ia
difícil ,difficult
idiota ,idiot
significa ,means
entendo ,I understand
dr ,DR
deixa ,he leaves
vindo ,coming
ouvir ,hear
passar ,pass
acontecendo ,happening
sangue ,blood
vir ,come over
fim ,end
mamãe ,mommy
devo ,owe
esposa ,wife
lembra ,remember
mesma ,same
veio ,he came
última ,last
problemas ,problems
jogo ,game
guerra ,war
água ,Water
parar ,to stop
nossos ,ours
teria ,it would have
importante ,important
mão ,hand
querem ,want
sra ,Mrs
pensando ,thinking
boca ,mouth
coração ,heart
tal ,such
única ,only
escola ,school
exatamente ,exactly
corpo ,body
conhece ,you know
podia ,could
poder ,power
tentar ,try
licença ,license
nenhuma ,none
causa ,cause
havia ,there were
fala ,speaks
ficou ,stayed
ouvi ,I heard
digo ,I say
faço ,I do
longe ,far
terra ,Earth
começar ,to start
saia ,get out
jack ,jack
ontem ,yesterday
tivesse ,have
porra ,damn
segundo ,second
pois ,because
velho ,old
maior ,larger
capitão ,captain
cinco ,five
matou ,killed
tirar ,to throw
querido ,Dear
diabos ,hell
senhora ,Mrs
sendo ,being
chance ,chance
morreu ,died
marido ,husband
usar ,use
número ,number
meses ,months
pegue ,take it
esperar ,wait
conheço ,I know
preocupe ,worry
comer ,eat
esperando ,waiting
cá ,here
festa ,party
estranho ,weird
mulheres ,women
trabalhar ,to work
prazer ,pleasure
houve ,there was
aquilo ,that one
telefone ,telephone
sabemos ,We know
consegue ,it achieves
muita ,lots of
deixou ,he left
irá ,will
pergunta ,question
filhos ,sons
john ,John
segurança ,safety
tomar ,to take
fácil ,easy
conseguir ,get
esteja ,is
dormir ,to sleep
bastante ,quite
desse ,of that
quatro ,four
dessa ,of that
possa ,be likely to
mil ,thousand
pais ,country
calma ,calm
muitos ,Many
café ,coffee
sentir ,to feel
irmã ,sister
estavam ,They were
bebê ,drinks
muitas ,lots of
maneira ,manner
eram ,they were
acontecer ,to happen
sozinho ,by myself
além ,beyond
neste ,in this
chega ,he arrives
suficiente ,enough
terá ,will have
sabem ,They know
caras ,faces
fale ,speak
quis ,wanted
nessa ,in that
procurando ,looking for
durante ,during
trás ,back
vivo ,alive
acordo ,Agreement
escute ,Listen
minuto ,minute
vendo ,seeing
novamente ,again
fogo ,fire
chegou ,has arrived
ouça ,listen up
criança ,child
provavelmente ,probably
possível ,possible
conseguiu ,got
viver ,to live
jantar ,dinner
culpa ,fault
equipe ,team
achar ,to think
falta ,lack
pensa ,thought
sala ,living room
aonde ,to where
falou ,said
desta ,of this
nossas ,our
certa ,certain
leve ,Light
único ,single
armas ,weapon
puta ,bitch
mudar ,change
presidente ,chairman
comida ,food
ligar ,turn on
desculpa ,excuse
louco ,Crazy
acreditar ,believe
cama ,bed
nesse ,in that
conversar ,talk
perder ,lose
pagar ,pay
livro ,book
faria ,would make
diferente ,different
umas ,some
forte ,strong
plano ,plan
pequeno ,little
devemos ,we must
existe ,exists
trouxe ,he brought
ouviu ,he heard
alô ,hello
paz ,peace
força ,force
nele ,in him
direito ,right
lembro ,I remember
pena ,feather
dizem ,They say
casamento ,wedding
outras ,others
agente ,agent
ruim ,bad
pedir ,ask
estiver ,you are
palavra ,word
dólares ,dollars
entende ,you see
passado ,past
luz ,light
médico ,doctor
pro ,pro
atenção ,attention
volte ,come back
música ,music
final ,Final
mostrar ,Show
acabar ,to finish
país ,country
filme ,movie
adeus ,bye
próxima ,next
tchau ,bye
olhar ,look
pior ,worst
baixo ,low
estes ,these
fazem ,do
querer ,want
rei ,king
ponto ,Score
seis ,six
descobrir ,discover
iria ,would go
acontece ,it happens
semanas ,weeks
brincando ,joking
jovem ,young
controle ,control
perguntar ,to ask
hospital ,hospital
linda ,beautiful
sam ,sam
jesus ,Jesus
chama ,flame
resto ,rest
próximo ,next
sob ,under
jogar ,to play
colocar ,to place
esteve ,was
fico ,I am
rua ,Street
tu ,you
especial ,Special
ai ,there
chamar ,Call
precisar ,need
garotas ,girls
negócio ,business
continuar ,Continue
rapazes ,boys
vim ,I came
pé ,foot
falei ,I spoke
ideia ,idea
pegou ,he picked up
estado ,state
seguro ,safe
ajude ,help
tire ,remove
engraçado ,funny
devem ,should
cedo ,early
último ,last
saiu ,it went out
sai ,leaves
comprar ,purchase
escritório ,desk
encontro ,meeting
sinal ,signal
michael ,Michael
estas ,these
começou ,it started
pelos ,by the
daí ,so
livre ,free
respeito ,respect
prisão ,prison
manter ,to maintain
teu ,your
incrível ,incredible
alto ,high
aqueles ,those ones
nesta ,in this
ajudá ,help
srta ,MS
queremos ,we want
sentido ,sense
deste ,of this
doutor ,doctor
passou ,passed on
estivesse ,it was
perfeito ,Perfect
escolha ,choice
estávamos ,we were
fiquei ,stayed
andar ,walk
real ,real
próprio ,own
pequena ,small
estará ,will be
ama ,love
si ,si
boas ,good
sistema ,system
mortos ,dead
entendeu ,he understood
esqueça ,forget
milhões ,millions
futuro ,future
chão ,floor
pense ,think
ar ,air
acredita ,belief
ganhar ,win
sexo ,sex
dor ,ache
charlie ,Charlie
trabalhando ,Working
mente ,mind
fato ,fact
bonito ,beautiful
cabelo ,hair
las ,las
olhando ,looking
consegui ,I achieved
policial ,cop
the ,The
visto ,visa
finalmente ,finally
mesa ,table
linha ,line
amiga ,friend
lhes ,them
frank ,Frank
presente ,gift
dez ,ten
modo ,mode
abra ,open it
rapaz ,boy
salvar ,to save
palavras ,words
cuidar ,take care
anda ,ride
situação ,situation
tom ,tone
após ,after
cale ,cale
disseram ,They said
tua ,your
conhecer ,to meet
assassino ,assassin
passa ,pass
lindo ,Beautiful
tente ,try
própria ,own
continue ,continues
estive ,I have been
entender ,to understand
peguei ,I caught
casar ,marry
perdeu ,lost
sozinha ,by herself
avião ,plane
preso ,stuck
conosco ,with us
contou ,said
simples ,simple
estás ,these
lamento ,am sorry
ficará ,will be
grandes ,big ones
emprego ,job
estaria ,it would be
odeio ,I hate
entendi ,I understood
bonita ,beautiful
ordem ,order
local ,place
pediu ,he requested
tio ,uncle
achou ,he thought
olho ,eye
crime ,crime
voltou ,it returned
farei ,I will do
fizeram ,made
encontrei ,found it
normal ,normal
partir ,leave
sol ,Sun
soube ,knew
lista ,list
ataque ,attack
viagem ,trip
uh ,uh
vontade ,will
rosto ,face
chamado ,called
doente ,sick
foto ,Photograph
inferno ,hell
acabei ,I have finished
hotel ,Hotel
acidente ,accident
tome ,take
tv ,TV
mensagem ,message
levou ,it took
david ,David
grupo ,group
natal ,Christmas
senhores ,gentlemen
segunda ,Monday
george ,George
serviço ,service
professor ,teacher
terminar ,finish
menina ,girl
melhores ,best
ligue ,call
precisam ,need
caixa ,box
nave ,nave
general ,general
perguntas ,Questions
sonho ,dream
exército ,army
simplesmente ,simply
povo ,people
quente ,warm
campo ,field
trazer ,bring
resposta ,answer
irei ,I will go
continua ,to be continued
tiver ,have
voce ,you
estarei ,I will be
aniversário ,birthday
morta ,dead
abrir ,Open
guarda ,guard
usando ,using
levá ,takes
trabalha ,works
menino ,boy
harry ,Harry
questão ,question
porquê ,because
mike ,Mike
banco ,Bank
idade ,age
meia ,sock
penso ,perse
vale ,Valley
área ,area
maldito ,damn you
pelas ,by
quantos ,how many
leva ,takes
graças ,grace
beber ,drink
voz ,voice
namorada ,girlfriend
encontrou ,found
lembrar ,to remember
dei ,Dei
matá ,Woods
companhia ,company
mestre ,teacher
barco ,boat
deixá ,he leaves
mau ,bad
erro ,mistake
céu ,sky
prometo ,promise
ligou ,turned on
seguir ,follow
pudesse ,could
perdi ,I've lost
surpresa ,surprise
negócios ,Business
fome ,hunger
conversa ,conversation
programa ,program
lutar ,to fight
diria ,would say
missão ,mission
notícias ,News
chave ,key
olhada ,look
mês ,month
dando ,giving
fará ,will make
fotos ,Photos
ouvindo ,listening
coloque ,place
fundo ,background
ler ,to read
governo ,government
fazê ,do it
adoro ,adore
banheiro ,bathroom
explicar ,explain
chame ,cuddle
advogado ,attorney
totalmente ,totally
juro ,interest
contato ,contact
metade ,half
ficando ,staying
funciona ,it works
loja ,store
joe ,Joe
precisava ,needed
cachorro ,dog
procurar ,Search for
traga ,bring on
peter ,peter
ótima ,excellent
motivo ,reason
lei ,law
segundos ,second
completamente ,completely
tradução ,Translation
apartamento ,apartment
saiba ,know
frio ,cold
mandou ,mandated
bons ,Good
esquerda ,left
teremos ,we will have
fomos ,we were
saindo ,going out
roupa ,clothing
carta ,Letter
buscar ,search
somente ,only
espaço ,space
haver ,be
embaixo ,below
vista ,View
disto ,of this
parabéns ,Happy birthday
naquela ,at that
tocar ,touch
interessante ,interesting
namorado ,boyfriend
fizemos ,We did
segredo ,secret
tenente ,lieutenant
tentei ,I Tried
velha ,old
assunto ,subject matter
tentou ,tried
senti ,feeling
ben ,Ben
posição ,position
luta ,fight
passada ,last
norte ,north
conte ,count
reunião ,meeting
divertido ,funny
roupas ,clothes
sete ,seven
horrível ,horrible
destino ,destiny
viva ,alive
nela ,in it
garotos ,boys
creio ,I believe
depressa ,quickly
aposto ,bet
fazemos ,We do
vidas ,lives
energia ,energy
costas ,back
né ,huh
drogas ,drug
papel ,paper
falo ,I speak
faremos ,we will do
entendido ,understood
direita ,right
mandar ,to send
estrada ,road
mudou ,changed
tivemos ,we had
hey ,hey
cair ,fall
verdadeiro ,real
levante ,raise
alma ,soul
impossível ,impossible
parecia ,it
assassinato ,murder
peça ,ask for
coronel ,colonel
naquele ,in that
loucura ,craziness
oficial ,official
escuta ,listening
show ,show
planeta ,planet
maioria ,majority
bar ,Pub
puder ,can
dou ,DOU
centro ,center
sargento ,sergeant
monte ,mate
ligação ,Link
james ,James
cheio ,full
conheci ,I knew
tiro ,shot
triste ,sad
contigo ,with you
teste ,test
informação ,information
beleza ,beauty
trem ,train
acredite ,believe it
pronta ,ready
lembre ,remember
prova ,proof
bola ,ball
fazia ,made
cérebro ,brain
paul ,Paul
socorro ,help
desses ,of these
regras ,rules
serão ,will be
através ,through
bela ,lovely
conhecê ,you know
deixei ,let
padre ,priest
imediatamente ,immediately
sul ,south
duro ,hard
igreja ,church
bebida ,drink
tinham ,had
tendo ,by having
humano ,human
us ,US
ordens ,orders
decisão ,decision
ex ,ex
breve ,short
maravilhoso ,wonderful
junto ,together
escrever ,write
pega ,catch
toque ,Touch
sentar ,to sit
saída ,exit
jimmy ,Jimmy
terrível ,terrible
volto ,back
atirar ,shoot
correr ,run
honra ,honor
queira ,want
existem ,exist
diferença ,difference
chegando ,coming
encontrá ,find
dito ,said
pés ,foot
gostar ,to like
carne ,meat
saiam ,skirt
comando ,command
parem ,stop
saco ,bag
capaz ,able
graça ,grace
acham ,They find
cerveja ,beer
paciente ,patient
passo ,step
parecer ,seem
feira ,market
foda ,fuck
esquecer ,forget
aprender ,learn
entrou ,came in
bob ,Bob
fiquem ,stay
conselho ,advice
esperava ,expected
devagar ,slowly
proteger ,protect
detetive ,detective
começo ,start
prontos ,ready
começa ,begins
igual ,equal
delas ,from them
fugir ,to run away
ponha ,put
bater ,to knock
time ,team
encontramos ,we find
perigo ,danger
hein ,huh
propósito ,purpose
certamente ,Certainly
cheiro ,smell
branco ,white
poderá ,may
gostei ,I liked
chamada ,call
louca ,crazy
mar ,sea
tens ,tens
fbi ,FBI
vítima ,victim
ilha ,island
janela ,window
perigoso ,dangerous
caiu ,dropped down
quais ,which are
lugares ,places
york ,York
confiar ,trust
rio ,river
base ,base
venham ,come
estúpido ,Stupid
pensou ,thought
oito ,eight
pobre ,poor
vestido ,dress
máquina ,machine
saúde ,health
bomba ,bomb
direção ,direction
tira ,strip
tempos ,times
andando ,walking
ambos ,both
dessas ,of these
tony ,Tony
belo ,beautiful
quantas ,how many
diferentes ,many different
desculpas ,apologies
direto ,direct
ti ,you
sentindo ,feeling
pedi ,I asked
oportunidade ,opportunity
ouro ,gold
jake ,jake
ligo ,turnar
últimos ,last
bill ,Bill
tê ,you
liga ,turns on
justo ,fair
cavalo ,horse
mate ,Herb tea
mantenha ,Keep
esqueci ,forgot it
serei ,Will be
senhoras ,ladies
jamais ,never
terei ,I will have
deveríamos ,we should
relação ,relationship
doce ,candy
cadê ,where is it
acaba ,ends
mostre ,show
alex ,Alex
deixem ,Let
vermelho ,red
lixo ,trash
conseguimos ,we achieved
sonhos ,dreams
dormindo ,sleeping
cristo ,Christ
ação ,action
corte ,cut
pára ,for
ihe ,yhe
basta ,enough
peço ,I ask
esperem ,wait
Sarah ,Sarah
excelente ,great
entra ,goes into
cena ,scene
trata ,treat
código ,code
resolver ,solve
liberdade ,freedom
dançar ,to dance
mentira ,lie
alvo ,target
olhem ,look
max ,Max
celular ,cell
negro ,black
iremos ,we will
super ,super
ora ,now
chamou ,called
cartão ,card
vive ,live
comum ,ordinary
rádio ,radio
emergência ,emergency
informações ,information
inteligente ,smart
animais ,animals
maldição ,curse
USA ,User
provar ,to test
braço ,arm
ficaria ,would stay
parecem ,they look
herói ,hero
livros ,books
aquelas ,those
km ,km
segure ,hold
tornar ,become
havendo ,there
verão ,summer
aceitar ,to accept
cozinha ,kitchen
azul ,blue
inteiro ,all
desejo ,wish
faculdade ,college
chá ,tea
receber ,receive
Henry ,Henry
época ,era
soldado ,Soldier
clube ,club
banho ,bath
tanta ,so much
esperança ,hope
américa ,America
bunda ,butt
passei ,I passed
poderíamos ,we could
ônibus ,buses
vender ,sell
pressão ,pressure
és ,is
americano ,American
segura ,safe
bolsa ,handbag
senhorita ,Ms
procura ,search
comandante ,commander
aula ,class
necessário ,required
preocupado ,concerned
mary ,Mary
perdido ,lost
irmãos ,brothers
computador ,computer
empresa ,company
sequer ,even
errada ,wrong
público ,public
pôr ,per
carros ,cars
seguinte ,Following
mexa ,mix
daquele ,that
vinho ,wine
ocupado ,occupied
importo ,import
tínhamos ,We had
solte ,loose
jim ,Jim
esconder ,to hide
cliente ,client
silêncio ,silence
pego ,caught
gostou ,liked
humanos ,humans
paris ,Paris
walter ,Walter
metros ,meters
passando ,passing
revisão ,revision
tenham ,have
preocupar ,concern
câmera ,camera
perdão ,pardon
pele ,skin
achamos ,We found
várias ,various
cão ,dog
preço ,price
parceiro ,partner
uau ,Wow
inglês ,English
principal ,main
diabo ,devil
gelo ,ice
mande ,send
toma ,tone
defesa ,defense
repente ,suddenly
brincar ,play
lua ,moon
prédio ,building
alta ,high
suspeito ,suspect
exemplo ,example
irão ,Iran
rainha ,queen
passe ,pass
dra ,Dra
inimigo ,enemy
roubar ,to steal
experiência ,experience
cerca ,fence
policiais ,cops
ray ,ray
longo ,long
departamento ,Department
aparecer ,appear
exceto ,except
cartas ,cards
ficam ,stay
viram ,They saw
piada ,joke
soldados ,soldiers
matei ,killed
haverá ,there will be
cansado ,tired out
colocou ,placed
morrendo ,dying
roubou ,he stole
planos ,plans
nível ,level
coragem ,courage
diretor ,principal
manda ,sends
johnny ,Johnny
pude ,can
inteira ,entire
nomes ,names
sejam ,be
pernas ,legs
buraco ,hole
sapatos ,shoes
escolher ,to choose
opinião ,opinion
tirou ,took out
gay ,gay
realidade ,reality
imaginar ,to imagine
entrada ,Prohibited
limpo ,clean
estação ,season
má ,bad
funcionar ,work
cala ,shut
prefiro ,I prefer
mora ,moon
pedido ,request
tornou ,Torn
subir ,move up
meninas ,girls
relatório ,report
use ,use
pista ,track
destruir ,to destroy
operação ,operation
tia ,aunt
começando ,starting
clark ,Clark
maldita ,nasty
perna ,leg
som ,sound
nick ,nick
cheia ,full
pedaço ,chunk
bala ,bullet
cadeia ,jail
anel ,ring
espírito ,spirit
dizia ,he said
falamos ,We talk
vejam ,see
batalha ,battle
conhecemos ,We know
lidar ,to deal
contrário ,contrary
pegá ,catch
novos ,new
parede ,wall
longa ,long
costumava ,I used to
quieto ,still
almoço ,lunch
www ,www
sucesso ,success
notícia ,news
mark ,Mark
peixe ,fish
mentindo ,lying
pergunte ,ask
soubesse ,knew
majestade ,majesty
líder ,leader
fizer ,do
façam ,Do
suponho ,suppose
cortar ,cut
risco ,risk
acima ,above
raiva ,anger
evitar ,avoid
classe ,class
hei ,Hei
árvore ,tree
tamanho ,size
dança ,dance
xerife ,sheriff
praia ,beach
richard ,Richard
enorme ,huge
verde ,green
provas ,evidences
cor ,color
dúvida ,doubt
responsável ,responsible
chaves ,keys
fé ,faith
pedindo ,asking
chamam ,They call
diante ,against
idiotas ,idiots
preparar ,prepare
encontre ,find
londres ,London
ganhou ,it won
fantástico ,Fantastic
sabes ,sake
pedra ,stone
maluco ,crazy
gato ,cat
mata ,Woods
novas ,new
limpar ,clean
li ,Li
brilhante ,brillant
apesar ,although
van ,van
agradeço ,appreciate
vergonha ,shame
gostava ,I liked
billy ,Billy
correndo ,running
apareceu ,appeared
cheguei ,I arrived
dados ,Dice
laboratório ,laboratory
bravo ,angry
brincadeira ,Just kidding
bêbado ,drunk
chuck ,Chuck
tommy ,Tommy
arte ,art
felizes ,happily
grávida ,pregnant
nariz ,nose
jovens ,young
vieram ,came
flores ,flowers
memória ,memory
quão ,how
entregar ,deliver
eua ,USA
nove ,nine
natureza ,nature
bobby ,bobby
coma ,with the
abaixo ,below
dentes ,teeth
busca ,search
acesso ,access
terminou ,finished
yeah ,yeh
filmes ,films
nervoso ,nervous
perdemos ,we lost
cuide ,take care
vários ,several
responda ,reply
siga ,go
abaixe ,lame
criar ,create
esperto ,clever
férias ,vacation
visão ,eyesight
justiça ,justice
danny ,Danny
dan ,dan
ido ,gone
relaxe ,Relax
pescoço ,neck
dirigir ,to drive
relógio ,clock
humana ,human
jornal ,newspaper
animal ,animal
total ,total
merece ,deserve
portanto ,therefore
velhos ,velhos
escreveu ,he wrote
restaurante ,restaurant
contas ,bills
debaixo ,under
vemos ,we see
ridículo ,ridiculous
moça ,girl
sabendo ,knowing
deixando ,letting
agradecer ,to thank
beijo ,kiss
médicos ,doctors
pago ,paid out
tribunal ,court
americanos ,Americans
endereço ,address
caminhão ,truck
interessa ,interest
acalme ,calm
corrida ,race
investigação ,investigation
apresentar ,to present
perdoe ,forgive
língua ,tongue
estrela ,star
branca ,white
escapar ,escape
ponte ,bridge
percebi ,I noticed
arrumar ,to arrange
levantar ,rise
nao ,not
usou ,used
faca ,Knife
amar ,love
julgamento ,judgment
pensava ,thought
espada ,sword
troca ,exchange
chegamos ,We arrived
velocidade ,velocity
descobriu ,found
ruas ,streets
parado ,stopped
escuro ,dark
Chris ,Chris
perguntou ,He asked
especialmente ,especially
will ,Will
gostam ,like
visita ,visit
série ,series
esqueceu ,he forgot
cirurgia ,surgery
cadeira ,chair
conhecia ,knew
Kate ,Kate
perdendo ,losing
projeto ,project
voar ,fly
deram ,they
máximo ,maximum
responder ,reply
estaremos ,will be
devíamos ,we should
doença ,illness
virá ,will come
amava ,AMAV
pontos ,spots
estranha ,strange
daquela ,that
juiz ,judge
salvo ,saved
acordar ,to wake up
atire ,shoot
grana ,money
ouve ,hear
meninos ,boys
Charles ,Charles
levando ,leading
milhares ,thousands
dado ,given away
andy ,Andy
gentil ,kindly
machucar ,hurt
steve ,Steve
permissão ,permission
distância ,distance
adoraria ,I would love
Jane ,Jane
floresta ,forest
infelizmente ,unfortunately
vais ,vais
corra ,run
senão ,if not
anna ,anna
ficarei ,I will stay
robert ,Robert
unidade ,unity
disser ,say
oeste ,west
rico ,rich
vêm ,comes
comece ,start
Eddie ,Eddie
movimento ,movement
carreira ,career
fechar ,close
salvou ,saved
menor ,smaller
cinema ,movie theater
caramba ,damn it
cavalheiros ,gentlemen
queres ,want
táxi ,taxi
virar ,turn
barulho ,noise
vôo ,flight
uso ,use
you ,you
eric ,Eric
par ,pair
imagino ,I guess
afinal ,in the end
conhecido ,known
vimos ,saw
milhão ,million
casado ,married
perfeita ,perfect
mercado ,market
poucos ,few
claire ,claire
sentimentos ,feelings
confiança ,trust
acabado ,finished
nacional ,national
inocente ,innocent
foder ,fuck
monstro ,monster
cantar ,sing
daniel ,Daniel
luzes ,lights
particular ,private
sexta ,Friday
come ,eats
estilo ,style
unidos ,United
comecei ,started
desapareceu ,it disappeared
parque ,park
lar ,home
chuva ,rain
morre ,dies
afaste ,remove
discutir ,to discuss
marca ,brand
parou ,stopped
dedos ,fingers
corpos ,bodies
histórias ,stories
navio ,ship
éramos ,we were
recebeu ,it received
vire ,turn
controlar ,to control
fita ,tape
besteira ,nonsense
dono ,owner
possamos ,we can
depende ,It depends
major ,major
Maria ,Maria
sobreviver ,survive
mudança ,change
noiva ,fiancee
ficamos ,We stayed
vento ,wind
normalmente ,usually
braços ,arms
detalhes ,Details
estados ,States
Washington ,Washington
Rachel ,Rachel
vindos ,coming
traz ,brow
firme ,firm
madame ,Madame
noites ,nights
raio ,ray
poderiam ,they could
clientes ,customers
descer ,to descend
vítimas ,victims
obviamente ,obviously
Scott ,Scott
vídeo ,video
universidade ,university
absolutamente ,absolutely
porco ,pig
odeia ,hate
sentado ,seated
ganha ,won
imbecil ,asshole
valor ,value
avó ,grandmother
imagem ,Image
futebol ,football
der ,der
comprou ,purchased
conheceu ,met
peso ,Weight
recebi ,I received
confie ,trust
querendo ,wanting
acorde ,wake up
calças ,trousers
ouvido ,ear
fonte ,source
bolo ,cake
espécie ,species
ryan ,Ryan
princesa ,Princess
aeroporto ,airport
altura ,height
verdadeira ,true
orgulho ,proud
central ,central
quebrar ,break
comprei ,bought
caro ,expensive
processo ,process
perda ,loss
leite ,milk
pete ,pete
testemunha ,witness
chorar ,to cry
dedo ,finger
cai ,falls
teoria ,theory
serve ,it suits
correto ,right
estrelas ,stars
acaso ,chance
trocar ,to exchange
descansar ,rest
preto ,black
redor ,surrounding
jerry ,Jerry
contei ,I have
apoio ,support
contente ,happy
to ,to
decidir ,decide
chamo ,call
encontrado ,found
início ,start
kevin ,Kevin
política ,policy
quisesse ,would
verá ,will see
vossa ,yours
mostra ,show
ligado ,switched on
direi ,direct
cavalos ,horses
nisto ,on this
assistir ,watch
universo ,universe
briga ,argument
camisa ,shirt
atrasado ,late
aberta ,open
forças ,forces
ensinar ,teach
dever ,to owe
divertir ,enliven
torna ,become
dão ,dão
portas ,doors
and ,and
números ,numbers
puxa ,tug
veremos ,we'll see
pegamos ,we take
ferido ,injured
colega ,co-worker
mapa ,map
seguindo ,following
atirou ,shot
hum ,Hmm
mesmos ,same
tomou ,took
ajudou ,helped
livrar ,rid
feche ,Close
antigo ,old
desistir ,to give up
agradável ,pleasant
ameaça ,threat
fantasma ,ghost