Spanish, English
que,what
de,from
no,not
a,a
la,the
el,the
es,is
y,Y
en,in
lo,it
un,a
por,for
qué,than
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yeah
bien,good
pero,but
yo,I
eso,that
las,the
sí,Yeah
su,his
tu,your
aquí,here
del,of
al,to the
como,What
le,you
más,plus
esto,this
ya,Already
todo,all
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,I am
tengo,I've got
nos,us
tú,your
nada,any
cuando,when
ha,ha
este,East
sé,HE
estás,these
así,So
puedo,I can
cómo,What
quiero,I love
sólo,single
soy,I am
tiene,have
gracias,thank you
o,either
él,the
bueno,well
fue,was
ser,to be
hacer,to do
son,are
todos,everyone
era,it was
eres,are you
vez,time
tienes,have
creo,I believe
ella,she
he,He
ese,that
voy,go
puede,can
sabes,do you know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,TRUE
estaba,was
mejor,better
están,is it so
va,goes
hombre,men
usted,you
mucho,a lot of
hace,make
entonces,then
siento,I feel
tenemos,have
puedes,you may
ahí,there
ti,you
vida,lifetime
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,things
también,also
antes,before
has,you have
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,evening
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little bit
padre,dad
trabajo,worked
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,them
dijo,said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,to talk
seguro,sure
claro,Clear
estas,are
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,since
fuera,outside
cosa,stuff
tipo,type
mañana,morning
podemos,can we
dije,I said
gran,big
necesito,needed
estado,condition
podría,could
acuerdo,agreement
papá,potato
tener,have
dice,He says
mío,Own
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,must
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,breast
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,time
mujer,woman
visto,viewed
haces,you do
importa,It matters
contigo,with you
ve,go
tarde,afternoon
oye,hears
parte,part
haber,to have
hombres,mens
problema,issue
mas,further
saber,know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you guys
idea,idea
esos,those
van,go
quizá,Maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,go out
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,affection
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,careful
pasó,He passed
buenas,good
somos,we are
amor,love
puerta,gate
ves,you see
vaya,wow
ah,ah
suerte,lucky
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,form
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,auto
camino,path
ayuda,help
primera,first
hacia,towards
vi,saw
miedo,fear
adiós,goodbye
primero,First
debería,ought
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,While
ciudad,city
dijiste,said
espero,wait
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,let
año,year
muerte,death
hablando,speaking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,okay
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,infant
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,near
otros,others
sigue,follow
grande,great
arriba,up
jefe,chief
habla,speaks
supongo,I suppose
manera,way
quieren,They want
feliz,Merry
significa,it means
sangre,blood
fin,finish
bajo,low
llama,call
venir,to come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,below
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,arrive
hago,do
señora,madam
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,even
genial,brilliant
cree,Believe
supuesto,supposed
tomar,drink
equipo,equipment
justo,just
juego,play
ninguna,none
matar,to kill
cinco,five
dicen,They say
amo,love
cuándo,when
pequeño,short
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,I can
dime,tell me
igual,Same
comida,meal
ay,Oh
cuerpo,body
encontrar,to find
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,They know
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,high or tall
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,evil
estabas,You were
vivo,alive
haga,make
queda,is left over
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,quarter
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,fuck
final,final
lista,list
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,pretty
seguridad,safety
pasando,going
esperando,expecting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,died
tampoco,neither
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,guilt
veras,you will see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,forgiveness
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,continue
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,Say
podrías,could you
pequeña,small
cállate,shut up
trato,deal
rey,king
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,weird
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I will say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,sky
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,girl
increíble,amazing
además,what's more
deben,They must
libro,book
calle,street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,Go
perfecto,perfect
buscar,seek
odio,hatred
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,York
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,front
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,killer
sueño,sleep
quisiera,I'd like
habría,there would be
hará,will do
viaje,travel
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,plane
ropa,clothes
fuerza,force
llamado,called
oído,ear
dado,dice
encima,above
negro,black
usar,wear
información,information
uds,You
preguntas,questions
tuvo,had
secreto,secret
vuelve,returns
miren,Look
quieras,You want
haría,would do
acaba,just
otras,others
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bathroom
adentro,inside
profesor,professor
habitación,room
daño,damage
tuyo,yours
seas,You are
noticias,news
demás,the rest
querido,my love
duro,Lasted
poner,place
prueba,Test
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,affair
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,I was
tratando,treating
ejército,army
futuro,future
llevar,wear
compañía,company
venido,I come
listos,Ready
haremos,will
sitio,place
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,mistake
blanco,white
raro,rare
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,film
anda,walk
ello,it
negocio,deal
novia,girlfriend
permiso,permit
creí,I believed
suena,dream
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to return
vio,he saw
hazlo,just do it
trasero,rear
grupo,cluster
entendido,understood
señorita,miss
música,music
perra,female dog
conoce,known
empezar,begin
siente,Feel
acabo,finished
estúpido,idiot
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,pain
largo,long
entra,enters
piso,floor
foto,Photo
dijeron,They said
médico,medical
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,win
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,Tell him
lindo,cute
funciona,works
programa,Program
vine,came
abre,opens
sean,Sean
pagar,to pay
fotos,Photos
centro,center
supone,It supposes
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,staff
maestro,teacher
hambre,hungry
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,reply
tipos,types
sentir,to feel
tenías,You had
pude,could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten
temo,I fear
señal,sign
pelo,hair
llevo,he took
ayer,Yesterday
das,you give
nena,chick
servicio,service
tren,train
bonito,pretty
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautiful
honor,honor
simplemente,simply
llamas,calls
tengas,Have
corre,run
baja,low
sol,sun
siéntate,Sit down
dan,give
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,hazard
mesa,desk
siguiente,Next
hablo,I speak
disculpa,sorry
decirme,Tell me
caja,box
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,he came back
media,half
estan,are
propio,own
oro,Prayed
enseguida,right away
linda,cute
prometo,I promise
esposo,husband
norte,north
hubo,was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,why
llave,key
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,Go
aun,yet
tendremos,we will have
vayas,go
doy,I give
trae,Bring
salió,he left
ley,law
ahi,there
verdadero,true
pelea,Fight
banco,bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,purchase
creen,They believe
sargento,sergeant
destino,destiny
existe,exists
hacía,towards
novio,boyfriend
sala,room
través,through
regalo,present
iglesia,church
decía,He said
cualquiera,anyone
excelente,Excellent
esperen,Wait
deseo,wish
alma,soul
diablo,Devil
deje,leave
cuántos,how many
espada,sword
estábamos,We were
carne,meat
maravilloso,marvelous
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,direction
libertad,Liberty
jesús,Jesus
ocurrió,It occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,I believed
luna,Moon
salvar,save
carta,letter
estés,be
cielos,Heavens
teniente,lieutenant
encuentra,finds
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,They need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,completely
mirando,looking
vayan,go
carrera,career